Unique ID,Airline,Airline ID,Source Airport ID,Source Airport,Source Airport Name,Source Airport City,Source Airport Country,Source Airport Latitude,Source Airport Longitude,Source Airport Timezone,Destination Airport ID,Destination Airport,Destination Airport Name,Destination Airport City,Destination Airport Country,Destination Airport Latitude,Destination Airport Longitude,Destination Airport Timezone,Codeshare,Stops,Equipment
29,AA,24,580,AMS,Amsterdam Airport Schiphol,Amsterdam,Netherlands,52.308601,4.76389,1,507,LHR,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,0,Y,0,320 767 321 319
30,AA,24,580,AMS,Amsterdam Airport Schiphol,Amsterdam,Netherlands,52.308601,4.76389,1,3752,PHL,Philadelphia International Airport,Philadelphia,United States,39.87189865,-75.2410965,-5,,0,757
31,AA,24,3774,ANC,Ted Stevens Anchorage International Airport,Anchorage,United States,61.17440033,-149.9960022,-9,3484,LAX,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,-8,Y,0,737
32,AA,24,3774,ANC,Ted Stevens Anchorage International Airport,Anchorage,United States,61.17440033,-149.9960022,-9,3462,PHX,Phoenix Sky Harbor International Airport,Phoenix,United States,33.43429947,-112.012001,-7,,0,319 320
33,AA,24,2874,ANU,V.C. Bird International Airport,Antigua,Antigua and Barbuda,17.1367,-61.792702,-4,3876,CLT,Charlotte Douglas International Airport,Charlotte,United States,35.2140007,-80.94309998,-5,,0,319
34,AA,24,2874,ANU,V.C. Bird International Airport,Antigua,Antigua and Barbuda,17.1367,-61.792702,-4,3797,JFK,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,-5,,0,738
35,AA,24,2874,ANU,V.C. Bird International Airport,Antigua,Antigua and Barbuda,17.1367,-61.792702,-4,3576,MIA,Miami International Airport,Miami,United States,25.79319954,-80.29060364,-5,,0,738
36,AA,24,2802,AQP,RodrÃ­guez BallÃ³n International Airport,Arequipa,Peru,-16.34110069,-71.58309937,-5,2789,LIM,Jorge ChÃ¡vez International Airport,Lima,Peru,-12.0219,-77.114305,-5,Y,0,319
37,AA,24,737,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,59.65190125,17.91860008,1,507,LHR,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,0,Y,0,320 321 319
38,AA,24,3838,ART,Watertown International Airport,Watertown,United States,43.9919014,-76.021698,-5,3830,ORD,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048,-6,Y,0,ERD
39,AA,24,3838,ART,Watertown International Airport,Watertown,United States,43.9919014,-76.021698,-5,3752,PHL,Philadelphia International Airport,Philadelphia,United States,39.87189865,-75.2410965,-5,Y,0,CRJ
40,AA,24,3319,ASP,Alice Springs Airport,Alice Springs,Australia,-23.80669975,133.9019928,9.5,3361,SYD,Sydney Kingsford Smith International Airport,Sydney,Australia,-33.94609833,151.177002,10,Y,0,737
41,AA,24,2699,ASU,Silvio Pettirossi International Airport,Asuncion,Paraguay,-25.23999977,-57.52000046,-4,3576,MIA,Miami International Airport,Miami,United States,25.79319954,-80.29060364,-5,,0,757
42,AA,24,3941,ATH,Eleftherios Venizelos International Airport,Athens,Greece,37.93640137,23.94449997,2,507,LHR,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,0,Y,0,320 767
43,AA,24,3941,ATH,Eleftherios Venizelos International Airport,Athens,Greece,37.93640137,23.94449997,2,3752,PHL,Philadelphia International Airport,Philadelphia,United States,39.87189865,-75.2410965,-5,,0,332
44,AA,24,3682,ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,-5,3876,CLT,Charlotte Douglas International Airport,Charlotte,United States,35.2140007,-80.94309998,-5,Y,0,319 320 CR9 321
45,AA,24,3682,ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,-5,3670,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,-6,,0,M80 319 M83
46,AA,24,3682,ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,-5,507,LHR,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,0,Y,0,777
47,AA,24,3682,ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,-5,3576,MIA,Miami International Airport,Miami,United States,25.79319954,-80.29060364,-5,,0,738
48,AA,24,3682,ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,-5,3830,ORD,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048,-6,Y,0,CR7 E75
49,AA,24,3682,ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,-5,3752,PHL,Philadelphia International Airport,Philadelphia,United States,39.87189865,-75.2410965,-5,Y,0,E75 E90 319 CRJ E70
50,AA,24,3682,ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,-5,3462,PHX,Phoenix Sky Harbor International Airport,Phoenix,United States,33.43429947,-112.012001,-7,Y,0,320 321
51,AA,24,2895,AUA,Queen Beatrix International Airport,Oranjestad,Aruba,12.5014,-70.015198,-4,3876,CLT,Charlotte Douglas International Airport,Charlotte,United States,35.2140007,-80.94309998,-5,,0,757 319 320
52,AA,24,2895,AUA,Queen Beatrix International Airport,Oranjestad,Aruba,12.5014,-70.015198,-4,3576,MIA,Miami International Airport,Miami,United States,25.79319954,-80.29060364,-5,,0,738
53,AA,24,2895,AUA,Queen Beatrix International Airport,Oranjestad,Aruba,12.5014,-70.015198,-4,3752,PHL,Philadelphia International Airport,Philadelphia,United States,39.87189865,-75.2410965,-5,,0,320
54,AA,24,2179,AUH,Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates,24.43300056,54.65110016,4,3024,CMB,Bandaranaike International Colombo Airport,Colombo,Sri Lanka,7.180759907,79.88410187,5.5,Y,0,320
55,AA,24,2179,AUH,Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates,24.43300056,54.65110016,4,345,DUS,DÃ¼sseldorf Airport,Duesseldorf,Germany,51.289501,6.76678,1,Y,0,330
56,AA,24,2179,AUH,Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates,24.43300056,54.65110016,4,3714,IAD,Washington Dulles International Airport,Washington,United States,38.94449997,-77.45580292,-5,Y,0,340
57,AA,24,2179,AUH,Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates,24.43300056,54.65110016,4,2223,ISB,Benazir Bhutto International Airport,Islamabad,Pakistan,33.616699,73.099197,5,Y,0,320 332
58,AA,24,2179,AUH,Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates,24.43300056,54.65110016,4,3797,JFK,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,-5,Y,0,777
59,AA,24,2179,AUH,Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates,24.43300056,54.65110016,4,2207,LHE,Alama Iqbal International Airport,Lahore,Pakistan,31.52160072,74.4036026,5,Y,0,332 320 77W
60,AA,24,2179,AUH,Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates,24.43300056,54.65110016,4,507,LHR,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,0,Y,0,777
61,AA,24,2179,AUH,Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates,24.43300056,54.65110016,4,2194,MCT,Muscat International Airport,Muscat,Oman,23.59329987,58.28440094,4,Y,0,777
62,AA,24,2179,AUH,Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates,24.43300056,54.65110016,4,3830,ORD,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048,-6,Y,0,777
63,AA,24,3673,AUS,Austin Bergstrom International Airport,Austin,United States,30.19449997,-97.66989899,-6,3876,CLT,Charlotte Douglas International Airport,Charlotte,United States,35.2140007,-80.94309998,-5,Y,0,CR9
64,AA,24,3673,AUS,Austin Bergstrom International Airport,Austin,United States,30.19449997,-97.66989899,-6,3670,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,-6,,0,M80 738 M83
65,AA,24,3673,AUS,Austin Bergstrom International Airport,Austin,United States,30.19449997,-97.66989899,-6,3797,JFK,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,-5,,0,738
66,AA,24,3673,AUS,Austin Bergstrom International Airport,Austin,United States,30.19449997,-97.66989899,-6,3484,LAX,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,-8,,0,738 M83
