Airline,Airline ID,Source Airport ID,Source Airport,Source Airport Name,Source Airport City,Source Airport Country,Source Airport Latitude,Source Airport Longitude,Source Airport Timezone,Destination airport ID,Destination Airport,Destination Airport Name,Destination Airport City,Destination airport Country,Destination Airport Latitude,Destination Airport Longitude,Destination Airport Timezone,Codeshare,Stops,Equipment
AA,24,3673,AUS,Austin Bergstrom International Airport,Austin,United States,30.19449997,-97.66989899,-6,3797,JFK,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,-5,,0,738
AA,24,3673,AUS,Austin Bergstrom International Airport,Austin,United States,30.19449997,-97.66989899,-6,3484,LAX,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,-8,,0,738 M83
AA,24,3673,AUS,Austin Bergstrom International Airport,Austin,United States,30.19449997,-97.66989899,-6,3861,MSY,Louis Armstrong New Orleans International Airport,New Orleans,United States,29.99340057,-90.25800323,-6,,0,
AA,24,3673,AUS,Austin Bergstrom International Airport,Austin,United States,30.19449997,-97.66989899,-6,3830,ORD,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048,-6,,0,M83 M80
AA,24,3673,AUS,Austin Bergstrom International Airport,Austin,United States,30.19449997,-97.66989899,-6,3752,PHL,Philadelphia International Airport,Philadelphia,United States,39.87189865,-75.2410965,-5,,0,319 E90
AA,24,3673,AUS,Austin Bergstrom International Airport,Austin,United States,30.19449997,-97.66989899,-6,3462,PHX,Phoenix Sky Harbor International Airport,Phoenix,United States,33.43429947,-112.012001,-7,,0,319
AA,24,4007,AVL,Asheville Regional Airport,Asheville,United States,35.43619919,-82.54180145,-5,3876,CLT,Charlotte Douglas International Airport,Charlotte,United States,35.2140007,-80.94309998,-5,,0,DH8 DH3
AA,24,4286,AVP,Wilkes Barre Scranton International Airport,Scranton,United States,41.33850098,-75.7233963,-5,3876,CLT,Charlotte Douglas International Airport,Charlotte,United States,35.2140007,-80.94309998,-5,,0,CRJ
AA,24,4286,AVP,Wilkes Barre Scranton International Airport,Scranton,United States,41.33850098,-75.7233963,-5,3752,PHL,Philadelphia International Airport,Philadelphia,United States,39.87189865,-75.2410965,-5,,0,DH3
AA,24,4039,AZO,Kalamazoo Battle Creek International Airport,Kalamazoo,United States,42.23490143,-85.55210114,-5,3830,ORD,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048,-6,Y,0,ER4 ERD
AA,24,3825,BDL,Bradley International Airport,Windsor Locks,United States,41.93889999,-72.68319702,-5,3876,CLT,Charlotte Douglas International Airport,Charlotte,United States,35.2140007,-80.94309998,-5,,0,320 321 319
AA,24,3825,BDL,Bradley International Airport,Windsor Locks,United States,41.93889999,-72.68319702,-5,3520,DCA,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,-5,Y,0,E75 CRJ E70
AA,24,3825,BDL,Bradley International Airport,Windsor Locks,United States,41.93889999,-72.68319702,-5,3670,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,-6,,0,738
AA,24,3825,BDL,Bradley International Airport,Windsor Locks,United States,41.93889999,-72.68319702,-5,3484,LAX,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,-8,,0,738
AA,24,3825,BDL,Bradley International Airport,Windsor Locks,United States,41.93889999,-72.68319702,-5,3576,MIA,Miami International Airport,Miami,United States,25.79319954,-80.29060364,-5,,0,738
AA,24,3825,BDL,Bradley International Airport,Windsor Locks,United States,41.93889999,-72.68319702,-5,3830,ORD,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048,-6,Y,0,E75 ER4
AA,24,3825,BDL,Bradley International Airport,Windsor Locks,United States,41.93889999,-72.68319702,-5,3752,PHL,Philadelphia International Airport,Philadelphia,United States,39.87189865,-75.2410965,-5,,0,319 DH3 E90
AA,24,3825,BDL,Bradley International Airport,Windsor Locks,United States,41.93889999,-72.68319702,-5,3570,PIT,Pittsburgh International Airport,Pittsburgh,United States,40.49150085,-80.23290253,-5,Y,0,ER4
AA,24,3558,BFL,Meadows Field,Bakersfield,United States,35.43360138,-119.0569992,-8,3462,PHX,Phoenix Sky Harbor International Airport,Phoenix,United States,33.43429947,-112.012001,-7,Y,0,CRJ CR9
AA,24,4129,BGM,Greater Binghamton/Edwin A Link field,Binghamton,United States,42.20869827,-75.97979736,-5,3752,PHL,Philadelphia International Airport,Philadelphia,United States,39.87189865,-75.2410965,-5,,0,DH3
AA,24,3463,BGR,Bangor International Airport,Bangor,United States,44.80739975,-68.82810211,-5,3520,DCA,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,-5,Y,0,CRJ E70
AA,24,3463,BGR,Bangor International Airport,Bangor,United States,44.80739975,-68.82810211,-5,3752,PHL,Philadelphia International Airport,Philadelphia,United States,39.87189865,-75.2410965,-5,Y,0,E75 CRJ
AA,24,3811,BHM,Birmingham-Shuttlesworth International Airport,Birmingham,United States,33.56290054,-86.75350189,-6,3876,CLT,Charlotte Douglas International Airport,Charlotte,United States,35.2140007,-80.94309998,-5,,0,CRJ CR7
AA,24,3811,BHM,Birmingham-Shuttlesworth International Airport,Birmingham,United States,33.56290054,-86.75350189,-6,3520,DCA,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,-5,,0,CRJ
AA,24,3811,BHM,Birmingham-Shuttlesworth International Airport,Birmingham,United States,33.56290054,-86.75350189,-6,3670,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,-6,,0,M80 M83
AA,24,3811,BHM,Birmingham-Shuttlesworth International Airport,Birmingham,United States,33.56290054,-86.75350189,-6,3576,MIA,Miami International Airport,Miami,United States,25.79319954,-80.29060364,-5,Y,0,ER4
AA,24,3811,BHM,Birmingham-Shuttlesworth International Airport,Birmingham,United States,33.56290054,-86.75350189,-6,3752,PHL,Philadelphia International Airport,Philadelphia,United States,39.87189865,-75.2410965,-5,,0,CRJ
AA,24,4037,BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,United States,40.47710037,-88.91590118,-6,3670,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,-6,Y,0,ER4
AA,24,4037,BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,United States,40.47710037,-88.91590118,-6,3830,ORD,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048,-6,Y,0,ER4 ERD
AA,24,3690,BNA,Nashville International Airport,Nashville,United States,36.12450027,-86.67819977,-6,3876,CLT,Charlotte Douglas International Airport,Charlotte,United States,35.2140007,-80.94309998,-5,,0,319 CR7
